date,PO%,away_team_runs,woba_denom,WAR,Swing% (sc),SH,Str,incorrect_calls,home_runs,Pulls,IFH%,balls,CTv,FA% (sc),FS% (pi),wFA (sc),SC-Z (sc),SI-X (pi),# 60-90%,StS,Contact%,H/9+,BIP-Wins,ShO,at_bat_number,wFA (pi),OPS,LA,Pull%,Loc+ CU,# 0%,average_distance,hit_distance_sc,Pit+ FC,Off,Pace,L,CH-Z (sc),FC-X (pi),AVG,bat_score,rank,PB,60-90%,ay,FA-Z (pi),wCH,F-Strike%,TE,vFS (sc),2B,rTS,vSL (pi),wKC (sc),maxEV,CH-X (pi),40-60%,GB%,SF,XX% (pi),botOvr CH,PA,K/BB,botStf FS,RngR,az,SC% (sc),O-Contact% (sc),Pit+ FS,woba_value,CU-X (sc),Loc+ SI,launch_angle,vFT (sc),inLI,wCU/C (sc),HBP,vFA (pi),SL% (pi),correct_calls_above_expected,delta_home_win_exp,O-Contact% (pi),FP,O-Contact%,E,release_speed,inning_topbot,post_away_score,botOvr KC,wSL/C (sc),release_spin_rate,K%,EP-X (sc),Zone% (pi),wGDP,botCmd CU,G,Loc+ FS,Cent%+,CS-Z (pi),UZR/150,SL% (sc),plate_z,ISO+,max_distance,year,SB-Z (pi),home_team,K/9+,spin_rate_deprecated,RS/9,SB-X (pi),release_pos_z,Cent%,release_extension,BABIP,FO-X (sc),vCS (pi),1-10%,description,accuracy_above_expected,BB%,FBv,BF,Loc+ FA,SFv,FIP,botCmd KC,LOB%,average_homerun,rCERA,FA-X (pi),wFS/C (sc),botCmd SL,Z-Contact%,rGDP,fielder_2,SLG+,Swing%,wCU (pi),UZR,batted_ball_events,id,expected_incorrect_calls,wFC (pi),GS,Dollars,Spd,HR/FB,kwERA,FE,botOvr FS,SO,FA-X (sc),Stf+ CU,SB% (pi),pitcher.1,player_name,wKC/C (sc),StL,fly_ball_line_drive_ev,vFS (pi),wSL (sc),Pit+ SI,Lg,CB%,wFB/C,H,wKN (pi),xERA,A,break_length_deprecated,Stf+ FA,Starting,Dol,FB,O-Swing% (sc),type,iso_value,wSI (sc),xFIP,Z-Swing%,swing_length,LD%+,CU-Z (pi),O-Swing% (pi),estimated_ba_using_speedangle,CG,FDP-Wins,Clutch,Team,FIP-,Pos,FSR,des,10-40%,wCH/C,FT-X (sc),IBB,botOvr,K/BB+,vCH (pi),wCT/C,xSLG,ARM,plate_x,FO-Z (sc),botStf FC,RBI,release_pos_y,#days,AVG+,IDfg,ballpark,SLv,pitches_called,FS-Z (sc),Scp,W,wRC+,CH-Z (pi),FS-X (pi),rSB,wKN/C (sc),Stf+ FS,wFS/C (pi),KN-X (pi),launch_speed_angle,Contact% (pi),Pit+ KC,FC% (sc),post_fld_score,Stf+ SI,post_bat_score,bat_speed,SO/W,Barrel%,wSI/C (pi),tfs_deprecated,pfx_x,phLI,vCU (sc),AB,RAR,# 10-40%,Med%+,Barrels,wCS (pi),hard_hit_95mph+,OBP,GDP,BB,on_1b,LOB-Wins,correct_calls,strikes,Pit+ FA,KC-X (sc),post_home_score,vFA (sc),vSC (sc),wSL,target,exLI,FA% (pi),vKC (sc),wCH/C (pi),BUH%,LD%,ISO,SO9,EV,WHIP+,launch_speed,Stf+ FO,Stf+ KC,wSF/C,botStf KC,game_year,FB% 2,FRM,wSC/C (sc),CH% (pi),rPM,SL%,OAA,wSI (pi),XX-Z (pi),estimated_woba_using_speedangle,DPF,SI-Z (pi),CU% (sc),botOvr SI,TZ,xwOBA,Bat,on_2b,IFH,vFC (pi),SF%,away_team,total_run_impact,botxRV100,FT-Z (sc),Soft%+,zone,MD,Pit+ CU,SL-X (sc),ER,SL-Z (pi),BA,FB%,Age Rng,botStf FA,barrels_batted_balls_percentage,DRS,KC% (sc),Z-Swing% (sc),WPA,FA-Z (sc),Hard%,batter,pitch_type,away_score,SI-X (sc),+WPA,wSC (sc),average_ev,RA9-WAR,KC-Z (sc),home_score,Pit+ FO,SC-X (sc),vy0,feature2,Swing% (pi),player,release_pos_x,SL-X (pi),wCB,GB/FB,wCH (pi),vSI (sc),Age,game_type,Stf+ FC,wFC/C (sc),BB/9,Balls,pitch_name,fielder_7,-WPA,expected_correct_calls,Med%,KNv,K%+,botCmd FC,vFC (sc),UN% (sc),GB,3B,CSW%,1B,SwStr%,wFT/C (sc),on_3b,wFC/C (pi),FB% (Pitch),wOBA,wSF,botStf SI,fielder_6,Loc+ FO,accuracy,ErrR,total_barrels,BUH,wCH (sc),wSB/C (pi),wCB/C,BAbip,wSB,HR/9,90-100%,botOvr FC,Rep,botCmd,Pitching+,botStf CU,vFO (sc),sz_top,fielder_2.1,expected_homers,BU,R,air_density_index,Zone% (sc),CH-X (sc),strikeouts,WP,SB,Stf+ CH,wCT,gmLI,vx0,rARM,outs_when_up,E-F,vKN (sc),fielder_9,vSI (pi),sv_id,CS-X (pi),babip_value,wCS/C (pi),Loc+ KC,Zone%,DPS,L-WAR,Tm,BIZ,barrels_plate_appearance_percentage,vz0,wEP (sc),FC-Z (pi),OBP+,fielder_5,FC-Z (sc),SV,Z-Contact% (sc),Stf+ SL,wRC,inning,botCmd FS,Lev,PU,Pit+ CH,Hard%+,GB%+,SL-Z (sc),wSI/C (sc),spin_dir,OOZ,BB%+,TTO%,Def,HR,effective_speed,fielder_4,CStr%,wFT (sc),# 1-10%,wFC (sc),BB/9+,Pit+ SL,Pace (pi),mlbID,BK,sz_bot,DP,RZR,# 90-100%,Soft%,botERA,TZL,FB%+,Oppo%,EP% (sc),break_angle_deprecated,vKN (pi),umpire,Stuff+,vSB (pi),0%,away,wFS (pi),FC% (pi),Location+,FO% (sc),PH,tERA,BABIP+,CU-X (pi),KN-Z (sc),of_fielding_alignment,Z-Contact% (pi),pLI,LOB%+,actual_homers,K/9,KN%,wKN,botCmd CH,BS,botCmd SI,CS% (pi),Pitches,expected_accuracy,TBF,KN-Z (pi),wCH/C (sc),xBA,XX%,CBv,LD+%,favor_home,HR/9+,Loc+ CH,HR/FB%+,Range,pitcher,CPP,RS,delta_run_exp,DPR,Inn,altitude,Events,SI% (pi),wFA/C (pi),SIERA,game_pk,vXX (pi),Fld,REW,WPA/LI,Loc+ FC,rGFP,fld_score,hit_location,Start-IP,SI% (sc),home_team_runs,wKN/C,IFFB%,SLG,CU-Z (sc),FS-Z (pi),wXX (pi),ERA-,HLD,hard_hit_percentage,botStf CH,botStf SL,if_fielding_alignment,game_date,IP,UBR,Name,ground_ball_ev,wFB,CH%,wXX/C (pi),FS% (sc),Pull%+,FT% (sc),wSL/C,wCU/C (pi),hc_x,CS,botOvr FA,wKN (sc),wSL/C (pi),SI-Z (sc),Oppo%+,botOvr SL,consistency,xFIP-,DPT,pitch_number,CH% (sc),events,stand,FC-X (sc),RPP,CHv,LD,KN% (sc),HardHit,feature1,Z-Swing% (pi),wFA/C (sc),Pit,# 40-60%,hc_y,CU% (pi),bb_type,RE24,H/9,BsR,wFS (sc),Relief-IP,tfs_zulu_deprecated,BB/K,wFO (sc),wCU (sc),WHIP,HardHit%,vCH (sc),wSB (pi),vCU (pi),wRAA,KN-X (sc),wSL (pi),fielder_8,Season,FS-X (sc),wEP/C (sc),home,PO,pfx_z,IFFB,vEP (sc),rSZ,botCmd FA,botOvr CU,botStf,spin_axis,Contact% (sc),Relieving,max_ev,SD,XX-X (pi),p_throws,Strikes,wKN/C (pi),vSL (sc),ax,wFO/C (sc),CT%,ERA,fielder_3,KN% (pi),O-Swing%,K-BB%,sweet_spot_percentage,EP-Z (sc),hard_hit_swing_percentage,Loc+ SL,Plays
,,,,,,,0.68,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,10,,,,,,,0.14,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,2792,,,,,,,,3.0,,,,,,,,,,,,,,,,,10.0,,,,,,,45,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,23,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.306,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.08,,,,,,,,,,,0,,,,,,,,,,656186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.27,,,,,,172,,,,,,,,,,,,,,0.973,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.73,,,,,,,,,
,,,,,,,0.62,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,41,,,,,,,0.17,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2792,,,,,,,,3.0,,,,,,,,,,,,,,,,,5.13,,,,,,,102,,,,,,,,4,8,,,,,,,,,,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,27,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.393,,,,,,,,,,,,,,16,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.08,,,,,,,,,,,6,,,,,,,,,,516714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.27,,,,,,468,,,,,,,,,,,,,,1.35,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,5.06,,,,,,,,,
,,,,,,,0.67,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,9,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,51,,,,,,,0.16,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,2793,,,,,,,,1.0,,,,,,,,,,,,,,,,,3.4,,,,,,,238,,,,,,,,5,15,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,27,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,0.364,,,,,,,,,,,,,,29,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.03,,,,,,,,,,,4,,,,,,,,,,501625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.29,,,,,,930,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,3.45,,,,,,,,,
,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,2916,,,,,,,,3.0,,,,,,,,,,,,,,,,,2.31,,,,,,,1,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,27,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,0,,,,,,,,,,506560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.0,,,,,,1,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
,,,,,,,0.62,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,5,,,,,,,0.17,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,2795,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.25,,,,,,,56,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,28,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.438,,,,,,,,,,,,,,15,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.02,,,,,,,,,,,4,,,,,,,,,,474463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.35,,,,,,206,,,,,,,,,,,,,,2.559,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,11.91,,,,,,,,,
,,,,,,,0.61,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,38,,,,,,,,3,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,647,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,120,,,,,,,0.16,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,2796,,,,,,,,9.0,,,,,,,,,,,,,,,,,2.26,,,,,,,583,,,,,,,,12,53,,,,,,,,,,,,,,,,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,28,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,83,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.08,,,,,,,,,,,28,,,,,,,,,,502624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.2,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,0.32,,,,,,2642,,,,,,,,,,,,,,1.371,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,4.39,,,,,,,,,
,,,,,,,0.66,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,15,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,270,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,54,,,,,,,0.14,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,2796,,,,,,,,2.0,,,,,,,,,,,,,,,,,4.15,,,,,,,255,,,,,,,,4,13,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,25,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,0.381,,,,,,,,,,,,,,45,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.05,,,,,,,,,,,13,,,,,,,,,,594736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.34,,,,,,992,,,,,,,,,,,,,,1.615,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,6.68,,,,,,,,,
,,,,,,,0.67,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,22,,,,,,,,3,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,478,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,99,,,,,,,0.17,,,,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2799,,,,,,,,5.0,,,,,,,,,,,,,,,,,3.54,,,,,,,437,,,,,,,,13,28,,,,,,,,,,,,,,,,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,26,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,0.325,,,,,,,,,,,,,,50,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.04,,,,,,,,,,,12,,,,,,,,,,542881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,0.26,,,,,,1801,,,,,,,,,,,,,,1.286,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3.54,,,,,,,,,
,,,,,,,0.67,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,26,,,,,,,,6,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,527,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,109,,,,,,,0.17,,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2794,,,,,,,,8.0,,,,,,,,,,,,,,,,,4.36,,,,,,,494,,,,,,,,13,25,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,26,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.305,,,,,,,,,,,,,,64,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.08,,,,,,,,,,,17,,,,,,,,,,542882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.21,,,,,,1983,,,,,,,,,,,,,,1.222,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,4.37,,,,,,,,,
,,,,,,,0.64,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,,,,,,,0.26,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,2931,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,10,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,26,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.375,,,,,,,,,,,,,,3,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.22,,,,,,,,,,,1,,,,,,,,,,542884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.22,,,,,,42,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,13.5,,,,,,,,,
,,,,,,,0.63,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,3,,,,,,,0.16,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,2805,,,,,,,,3.0,,,,,,,,,,,,,,,,,2.31,,,,,,,8,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,23,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.4,,,,,,,,,,,0,,,,,,,,,,593969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.2,,,,,,32,,,,,,,,,,,,,,0.429,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
,,,,,,,0.6,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,8,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,29,,,,,,,0.18,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2839,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.71,,,,,,,112,,,,,,,,2,17,,,,,,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,24,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.388,,,,,,,,,,,,,,22,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.07,,,,,,,,,,,4,,,,,,,,,,542587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.27,,,,,,541,,,,,,,,,,,,,,1.902,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,,,,
,,,,,,,0.63,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,33,,,,,,,,4,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,850,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,233,,,,,,,0.17,,,,,,,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,2795,,,,,,,,9.0,,,,,,,,,,,,,,,,,3.48,,,,,,,769,,,,,,,,12,67,,,,,,,,,,,,,,,,,,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,27,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,100,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.06,,,,,,,,,,,30,,,,,,,,,,502042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,0.23,,,,,,3402,,,,,,,,,,,,,,1.242,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,4.02,,,,,,,,,
,,,,,,,0.64,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,7,,,,,,,0.14,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2797,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.4,,,,,,,38,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,25,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.267,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.06,,,,,,,,,,,1,,,,,,,,,,542888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.19,,,,,,201,,,,,,,,,,,,,,1.313,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,2.53,,,,,,,,,
